team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
San Antonio Spurs,Oklahoma City Thunder,0.2682926829268293,8.254999999999999,2.175,0.1986114676308637,21.4,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Toronto Raptors,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.3048780487804878,8.266666666666667,2.26,0.2235251983794762,22.2,1
Toronto Raptors,Oklahoma City Thunder,0.3048780487804878,8.266666666666667,2.26,0.2235251983794762,22.2,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Memphis Grizzlies,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.32926829268292684,8.60909090909091,2.272727272727273,0.3106344996609543,25.1,1
Memphis Grizzlies,Oklahoma City Thunder,0.32926829268292684,8.60909090909091,2.272727272727273,0.3106344996609543,25.1,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Detroit Pistons,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.17073170731707318,8.329032258064515,1.738709677419355,0.20662565067620373,22.7,1
Detroit Pistons,Oklahoma City Thunder,0.17073170731707318,8.329032258064515,1.738709677419355,0.20662565067620373,22.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Washington Wizards,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.18292682926829268,7.804166666666667,1.8166666666666667,0.13853091718655472,22.2,1
Washington Wizards,Oklahoma City Thunder,0.18292682926829268,7.804166666666667,1.8166666666666667,0.13853091718655472,22.2,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Portland Trail Blazers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.25609756097560976,8.94090909090909,2.0954545454545457,0.1701576367731579,22.6,1
Portland Trail Blazers,Oklahoma City Thunder,0.25609756097560976,8.94090909090909,2.0954545454545457,0.1701576367731579,22.6,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Minnesota Timberwolves,Denver Nuggets,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,0
Denver Nuggets,Minnesota Timberwolves,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,1
Minnesota Timberwolves,New York Knicks,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,1
New York Knicks,Minnesota Timberwolves,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,New Orleans Pelicans,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,1
New Orleans Pelicans,Minnesota Timberwolves,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Los Angeles Clippers,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,1
Los Angeles Clippers,Minnesota Timberwolves,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Philadelphia 76ers,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,1
Philadelphia 76ers,Minnesota Timberwolves,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Phoenix Suns,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,1
Phoenix Suns,Minnesota Timberwolves,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Indiana Pacers,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,1
Indiana Pacers,Minnesota Timberwolves,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Golden State Warriors,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,1
Golden State Warriors,Minnesota Timberwolves,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Milwaukee Bucks,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,1
Milwaukee Bucks,Minnesota Timberwolves,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Cleveland Cavaliers,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,1
Cleveland Cavaliers,Minnesota Timberwolves,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Dallas Mavericks,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,1
Dallas Mavericks,Minnesota Timberwolves,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Orlando Magic,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,1
Orlando Magic,Minnesota Timberwolves,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
Minnesota Timberwolves,Miami Heat,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,1
Miami Heat,Minnesota Timberwolves,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0
