id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
69,Bradley Beal,Phoenix Suns,SG,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,2.1,2.5,0.813,1.0,3.4,4.4,5.0,1.0,0.5,2.5,2.4,18.2,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.05365853658536586,0.14135962636222107
70,Darius Garland,Cleveland Cavaliers,PG,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18.0,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.032926829268292684,0.15333079268292682
71,D'Angelo Russell,Los Angeles Lakers,PG,76,32.7,6.5,14.2,0.456,3.0,7.2,0.415,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18.0,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.03780487804878049,0.1599067337585334
72,Nikola Vucevic,Chicago Bulls,C,76,34.3,7.7,15.9,0.484,1.2,4.1,0.294,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18.0,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.12804878048780488,0.1328459316831234
73,Klay Thompson,Golden State Warriors,SF,77,29.7,6.4,14.7,0.432,3.5,9.0,0.387,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.04024390243902439,0.13712902372926167
74,Jordan Poole,Washington Wizards,SG,78,30.1,6.3,15.2,0.413,2.4,7.2,0.326,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.032926829268292684,0.11656661414451835
75,Fred VanVleet,Houston Rockets,PG,73,36.8,5.8,13.9,0.416,3.1,8.0,0.387,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.046341463414634146,0.17019547943647326
77,Tobias Harris,Philadelphia 76ers,PF,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,2.7,3.0,0.878,1.1,5.3,6.5,3.1,1.0,0.7,1.3,1.6,17.2,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.07926829268292683,0.09994736779148075
78,Jordan Clarkson,Utah Jazz,SG,55,30.6,6.1,14.8,0.413,1.7,5.6,0.294,3.2,3.7,0.881,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,17.1,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.041463414634146344,0.11389641674194521
79,Myles Turner,Indiana Pacers,C,77,27.0,6.2,11.8,0.524,1.5,4.2,0.358,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3.0,17.1,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.08414634146341464,0.10095109962568771
81,Immanuel Quickley,New York Knicks,SG,30,24.0,5.1,11.2,0.454,2.1,5.4,0.395,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.03170731707317073,0.09064998612757585
82,Immanuel Quickley,Toronto Raptors,PG,38,33.3,6.2,14.7,0.422,2.8,7.1,0.395,3.3,4.0,0.841,0.3,4.5,4.8,6.8,0.9,0.2,1.8,2.0,18.6,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.058536585365853655,0.10265538945712038
83,Bogdan Bogdanovic,Atlanta Hawks,SG,79,30.4,6.0,13.9,0.428,3.0,8.1,0.374,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.041463414634146344,0.11458812701334561
84,Deandre Ayton,Portland Trail Blazers,C,55,32.4,7.8,13.6,0.57,0.0,0.2,0.1,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.0,16.7,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.1353658536585366,0.09372326310960112
85,Michael Porter Jr.,Denver Nuggets,SF,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,1.1,1.4,0.836,1.3,5.7,7.0,1.5,0.5,0.7,1.1,1.8,16.7,57,25,5.26,118.5,113.0,5.5,0.589,136.7,0.6951219512195121,1,0.08536585365853659,0.13376273484753867
